    All Store Views,    Alle Store Views,module,Magento_Search
 - deleted, - gelöscht,module,Magento_NegotiableQuote
 - deleted from catalog, - aus dem Katalog gelöscht,module,Magento_NegotiableQuote
 - Duplicated, - Dupliziert,module,Magento_Company
 - removed, - entfernt,module,Magento_NegotiableQuote
 (disabled), (deaktiviert),module,Magento_CompanyPayment
 (free , (kostenlos ,module,Magento_GiftCardAccount
 (no data), (keine Daten),module,Magento_Support
 [deleted], [gelöscht],module,Magento_Backend
 [deleted], [gelöscht],module,Magento_Sales
" after which time it will be reset to its default expiration period. To extend the,module,Magento_NegotiableQuote
lifetime of the quote, update its expiration date."," Zeit, nach der es auf das Standard-Ablaufdatum zurückgesetzt wird. Um die Gültigkeit,module,Magento_NegotiableQuote
des Angebots zu erhöhen, bearbeiten Sie das Ablaufdatum.",module,Magento_NegotiableQuote
" after which time you can’t order the items in the quote. After the expiration,,module,Magento_NegotiableQuote
you’ll have to negotiate the price with the seller again."," Zeit, nach der Sie die Artikel im Angebot nicht mehr bestellen können. Nach dem Ablauf,module,Magento_NegotiableQuote
müssen Sie den Preis mit dem Händler neu aushandeln.",module,Magento_NegotiableQuote
 and update the shipping address., and update the shipping address.,module,Magento_NegotiableQuote
 Copy, Kopieren,module,Magento_Newsletter
 Example: , Beispiel: ,module,Magento_Checkout
 Example: , Example: ,module,Magento_Customer
 expires on , gültig bis ,module,Magento_NegotiableQuote
 for more information or , für weitere Informationen oder ,module,Magento_Shipping
 has been declined by the seller., wurde vom Verkäufer abgelehnt.,module,Magento_NegotiableQuote
 if you are not redirected automatically., wenn Sie nicht automatisch weitergeleitet werden.,module,Magento_Worldpay
 is not available. You still can process offline actions., ist nicht verfügbar. Sie können immer noch offline Aktionen zu verarbeiten.,module,Magento_Payment
 is required., ist erforderlich.,module,Magento_Checkout
 is required., ist erforderlich.,module,Magento_Dhl
 is required., ist erforderlich.,module,Magento_Fedex
 is required., ist erforderlich.,module,Magento_OfflineShipping
 is required., ist erforderlich.,module,Magento_Ups
 is required., ist erforderlich.,module,Magento_Usps
 item, Artikel,module,Magento_Checkout
 items, Artikel,module,Magento_Checkout
 of , von ,module,Magento_GiftCardAccount
 product(s) require(s) your attention., Produkt(e) erfordern Ihre Aufmerksamkeit.,module,Magento_QuickOrder
 submitted by buyer, vom Käufer eingereicht,module,Magento_NegotiableQuote
 to learn more., um mehr zu erfahren.,module,Magento_Paypal
 to redeem it., um ihn einzulösen.,module,Magento_GiftCardAccount
 total)., gesamt).,module,Magento_GiftCardAccount
" Transaction ID: ""%1"""," Transaktions ID: ""%1""",module,Magento_Sales
 unread), ungelesen),module,Magento_AdminNotification
 updated by buyer, vom Käufer aktualisiert,module,Magento_NegotiableQuote
-- All --,-- Alle --,module,Magento_GiftRegistry
-- First Please Select a Website --,-- Bitte wählen Sie zunächst eine Website aus --,module,Magento_GiftCardAccount
-- No Theme --,-- Kein Thema --,module,Magento_Config
-- None --,-- Keine --,module,Magento_Banner
-- Not Selected --,-- Not Selected --,module,Magento_ImportExport
-- Please Select --,-- Bitte wählen --,module,Magento_Backend
-- Please Select --,-- Bitte wählen --,module,Magento_Catalog
-- Please select --,--Bitte auswählen--,module,Magento_Catalog
-- Please Select --,-- Bitte wählen --,module,Magento_CatalogPermissions
-- Please Select --,-- Bitte wählen --,module,Magento_Cms
-- Please Select --,-- Bitte wählen --,module,Magento_CmsStaging
-- Please Select --,-- Bitte wählen --,module,Magento_Customer
-- Please Select --,-- Bitte wählen --,module,Magento_CustomerCustomAttributes
-- Please select --,--Bitte auswählen--,module,Magento_GiftRegistry
-- Please Select --,-- Bitte wählen --,module,Magento_ImportExport
-- Please Select --,-- Bitte wählen --,module,Magento_OfflineShipping
-- Please Select --,-- Bitte wählen --,module,Magento_Paypal
-- Please Select --,-- Bitte wählen --,module,Magento_Sales
-- Please Select --,-- Bitte wählen --,module,Magento_Store
-- Please Select --,-- Bitte wählen --,module,Magento_TargetRule
-- Please Select --,-- Bitte wählen --,module,Magento_Theme
-- Please Select --,-- Bitte wählen --,module,Magento_Widget
-- Please Select a Category --,--Bitte wählen--,module,Magento_Catalog
-- Please Select Billing Agreement--,-- Bitte Zahlungsvereinbarung auswählen --,module,Magento_Paypal
-- Select --,--Auswählen--,module,Magento_Bundle
--Please Select--,-- Bitte wählen --,module,Magento_Analytics
--Please Select--,-- Bitte wählen --,module,Magento_Braintree
